filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled
00248df3,0b2f161d865c4c5f4043fc54c15455d055332c4f,b588ff037a3bd8122230ced27e39f11fcd11529e,false,mc textures\tri with alpha\bp_remade\no_mip_fixes\ui,false,true
002515dc,b47370c2aad21ccee05a79758ac35dbb21cbd020,0273c5eaa17fbeedf3e16e04117267fbd6afa40b,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00252016,b6ceb47e1c4e9ca9186b4cb3cceabf43c4161139,c99b0b48e8d8ed4f763352195096ce9cb056722b,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00253181,67c852cc8639181dedec794ca3f2cd5ba13b75cc,f40dbb2bb9e40588a34319d613366f21c5de9808,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00262016,eadaf6f8adf0608508b934883e23bb66084f3573,6de691b7bad634307674db3e7dc22cdd0cf95974,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
0026f2fc,f77a65e7f022afc0e966c5aae4257bf11076689b,79fb76f919ea71c6ce305b00551d3137b8b7b307,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00272016,4919de26f6cbe0884a7bd5aa41c6d93d96ea258d,01503e7ebb3c1b77992579b976014d30c3b39781,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00273921,6a5022da2dd4b1f54fccbbe97941ec791ff9af06,93cf0a28527eec6e2fa978853925985cb9a6a1b9,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
0027ccec,fa07a468c1459340ebacb3bed0a269fb004134b4,db77101518c587d4f2c8b1f2f7716ca7f80314ec,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002be6b0,1002ae5484773cc9e042c2c9f40527016b1d3bfb,c1093da5edb40445dc9c7a7b8327902bc58d2421,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002c9415,52973ef994d265187515d39e56d59cc9209b0cdc,5211692fc731288c21a056565da0a6d7e1e9cc56,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002ca269,a00e73c9fb4d7b349a205dd6ea19170948dd9521,f612f0a58fa4ef424b2578f3eb6e47026750687e,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002ceb42,f19c09dc9abe95f5d88612c7d43f1de372be8b59,93edba444a4a2a2e77163996bac576ca83b24f8a,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002d83df,2bbc67e1b46588aa8f8e08e402f9ccee8ec8f3a7,88faf714170c55d2acaa28d4af74447e651bd9aa,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002d83df_d6d6e25cebf411fbdc10afdc75e6c763,be78633e80a3782e17d35799d282a0966faf2521,30abccf174aca68d4b2684a436d8e2c786abd20c,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
